   MJD       EECO-REF    NIST-REF NS   DATE    COMMENTS	
 49909.75       0.0        -0.553 g 11-JUL-95  MK Effelsberg: maser-GPS
 49909.79       0.0        -0.529 g 11-JUL-95  MK Effelsberg: maser-GPS
 49909.81       0.0        -0.373 g 11-JUL-95  MK Effelsberg: maser-GPS
 49909.86       0.0        -0.255 g 11-JUL-95  MK Effelsberg: maser-GPS
 49909.88       0.0        -0.103 g 11-JUL-95  MK Effelsberg: maser-GPS
 49909.94       0.0        -0.120 g 11-JUL-95  MK Effelsberg: maser-GPS
 49910.06       0.0        -0.452 g 12-JUL-95  MK Effelsberg: maser-GPS
 49910.11       0.0        -0.620 g 12-JUL-95  MK Effelsberg: maser-GPS
 49910.15       0.0        -0.309 g 12-JUL-95  MK Effelsberg: maser-GPS
 49910.19       0.0        -0.298 g 12-JUL-95  MK Effelsberg: maser-GPS
 49910.23       0.0        -0.224 g 12-JUL-95  MK Effelsberg: maser-GPS
 49910.27       0.0        -0.182 g 12-JUL-95  MK Effelsberg: maser-GPS
 49910.31       0.0        -0.387 g 12-JUL-95  MK Effelsberg: maser-GPS
 49910.36       0.0        -0.162 g 12-JUL-95  MK Effelsberg: maser-GPS
 49910.39       0.0        -0.094 g 12-JUL-95  MK Effelsberg: maser-GPS
 49910.44       0.0        -0.299 g 12-JUL-95  MK Effelsberg: maser-GPS
 49910.46       0.0        -0.231 g 12-JUL-95  MK Effelsberg: maser-GPS
 49910.48       0.0        -0.144 g 12-JUL-95  MK Effelsberg: maser-GPS
 49910.56       0.0        -0.488 g 12-JUL-95  MK Effelsberg: maser-GPS
 49910.60       0.0        -0.440 g 12-JUL-95  MK Effelsberg: maser-GPS
 49910.64       0.0        -0.368 g 12-JUL-95  MK Effelsberg: maser-GPS
 49910.75       0.0        -0.516 g 12-JUL-95  MK Effelsberg: maser-GPS
 49910.79       0.0        -0.471 g 12-JUL-95  MK Effelsberg: maser-GPS
 49910.83       0.0        -0.410 g 12-JUL-95  MK Effelsberg: maser-GPS
 49910.87       0.0        -0.265 g 12-JUL-95  MK Effelsberg: maser-GPS
 49910.89       0.0        -0.241 g 12-JUL-95  MK Effelsberg: maser-GPS
 49910.92       0.0        -0.068 g 12-JUL-95  MK Effelsberg: maser-GPS
 49911.06       0.0        -0.527 g 13-JUL-95  MK Effelsberg: maser-GPS
 49911.10       0.0        -0.489 g 13-JUL-95  MK Effelsberg: maser-GPS
 49911.14       0.0        -0.420 g 13-JUL-95  MK Effelsberg: maser-GPS
 49911.19       0.0        -0.283 g 13-JUL-95  MK Effelsberg: maser-GPS
 49911.25       0.0        -0.323 g 13-JUL-95  MK Effelsberg: maser-GPS
 49911.27       0.0        -0.243 g 13-JUL-95  MK Effelsberg: maser-GPS
 49911.31       0.0        -0.500 g 13-JUL-95  MK Effelsberg: maser-GPS
 49911.35       0.0        -0.217 g 13-JUL-95  MK Effelsberg: maser-GPS
 49911.39       0.0        -0.061 g 13-JUL-95  MK Effelsberg: maser-GPS
 49911.43       0.0        -0.240 g 13-JUL-95  MK Effelsberg: maser-GPS
 49911.45       0.0        -0.337 g 13-JUL-95  MK Effelsberg: maser-GPS
 49911.48       0.0        -0.122 g 13-JUL-95  MK Effelsberg: maser-GPS
 49911.56       0.0        -0.512 g 13-JUL-95  MK Effelsberg: maser-GPS
 49911.64       0.0        -0.405 g 13-JUL-95  MK Effelsberg: maser-GPS
 49911.75       0.0        -0.635 g 13-JUL-95  MK Effelsberg: maser-GPS
 49911.79       0.0        -0.510 g 13-JUL-95  MK Effelsberg: maser-GPS
 49911.81       0.0        -0.326 g 13-JUL-95  MK Effelsberg: maser-GPS
